naics,COUNTRY,year,imp_tot
333519,5520,2016,140460
333611,5520,2016,36403938
333612,5520,2016,7980186
333613,5520,2016,2605716
333618,5520,2016,1423536
333911,5520,2016,14684485
333912,5520,2016,2168903
333913,5520,2016,28723
333921,5520,2016,1231107
333922,5520,2016,412061
333923,5520,2016,8428299
333924,5520,2016,20967630
333991,5520,2016,5123563
333992,5520,2016,2381749
333993,5520,2016,1077696
333994,5520,2016,2527374
333995,5520,2016,10157408
333996,5520,2016,404855
333997,5520,2016,1040029
333999,5520,2016,20520375
334111,5520,2016,886644047
334112,5520,2016,701312
334118,5520,2016,682874703
334210,5520,2016,27768630
334220,5520,2016,6158228365
334290,5520,2016,3240345
334310,5520,2016,303131066
334412,5520,2016,5967339
334413,5520,2016,2778487227
334416,5520,2016,39809422
334417,5520,2016,10174120
334418,5520,2016,306479751
334419,5520,2016,161564454
334510,5520,2016,110699090
334511,5520,2016,2082392
334512,5520,2016,1606437
334513,5520,2016,57392766
334514,5520,2016,2083623
334515,5520,2016,53826636
334516,5520,2016,2344149
334517,5520,2016,61013
334519,5520,2016,1272500
334613,5520,2016,68614013
334614,5520,2016,94525
335110,5520,2016,1810127
335121,5520,2016,6292419
335122,5520,2016,265633
335129,5520,2016,15663072
335210,5520,2016,18703935
335221,5520,2016,5501114
335222,5520,2016,8594281
335224,5520,2016,173391316
335228,5520,2016,731255
335311,5520,2016,105072
335312,5520,2016,88512870
335313,5520,2016,73375460
335314,5520,2016,5395689
335911,5520,2016,92236924
335912,5520,2016,435534
335921,5520,2016,281515
335929,5520,2016,57670318
335931,5520,2016,64769910
335932,5520,2016,466707
335991,5520,2016,6784
335999,5520,2016,73853541
336212,5520,2016,14705
336214,5520,2016,1094861
336310,5520,2016,2593444
336320,5520,2016,435479767
336330,5520,2016,8927362
336340,5520,2016,12048236
336350,5520,2016,57326504
336360,5520,2016,8052908
336370,5520,2016,20287
336390,5520,2016,37476802
336411,5520,2016,398978
336412,5520,2016,37115
336413,5520,2016,73028460
336510,5520,2016,346941
336611,5520,2016,344784
336612,5520,2016,1883346
336991,5520,2016,37853836
336999,5520,2016,12786585
337110,5520,2016,3297622
337121,5520,2016,440687213
337122,5520,2016,1977732607
337124,5520,2016,60524142
337125,5520,2016,62749682
337127,5520,2016,840050043
337211,5520,2016,33588390
337212,5520,2016,298164
337214,5520,2016,453964
337215,5520,2016,644342469
337910,5520,2016,5514441
337920,5520,2016,21057715
339112,5520,2016,73382308
339113,5520,2016,61490061
339114,5520,2016,7585910
339115,5520,2016,161868734
339116,5520,2016,16658908
339910,5520,2016,150775152
339920,5520,2016,214694735
339930,5520,2016,324097540
339940,5520,2016,68676977
339950,5520,2016,247468
339991,5520,2016,59496268
339992,5520,2016,8655473
339993,5520,2016,2409010
339994,5520,2016,10220828
339995,5520,2016,168345
339999,5520,2016,214287417
910000,5520,2016,2509578
930000,5520,2016,4569493
980000,5520,2016,41395320
990000,5520,2016,101516231
